address,lat,lng,matched_address,updated_at
南投縣集集鎮東昌巷4號,23.827310,120.799133,南投縣集集鎮永昌里9鄰東昌巷4號,2026-09-13
南投縣魚池鄉瓊文巷41號,23.898952,120.937311,南投縣魚池鄉魚池村21鄰瓊文巷41號,2026-09-13
南投縣魚池鄉魚池村魚池街354巷2號,23.897318,120.937541,南投縣魚池鄉魚池村16鄰魚池街354巷2號,2026-09-13
南投縣鹿谷鄉中正路2段174號,23.749270,120.752069,南投縣鹿谷鄉鹿谷村10鄰中正路二段174號,2026-09-13
南投縣鹿谷鄉竹林村光復路106之2號,23.727001,120.755472,南投縣鹿谷鄉竹林村12鄰光復路106之2號,2026-09-13
博愛一路372號,22.650968,120.303976,高雄市三民區安和里21鄰博愛一路372號,2026-09-13
博愛一路70號,22.643271,120.303301,高雄市三民區達德里1鄰博愛一路70號,2026-09-13
博愛三路453號,22.677800,120.306927,高雄市左營區新光里20鄰博愛三路453號,2026-09-13
原佃里活動中心,23.050464,120.197046,臺南市安南區原佃里6鄰本原街一段167巷36弄46號,2026-09-13
吉安國中體育館--花蓮縣吉安鄉中山路3段662號,23.983453,121.561241,花蓮縣吉安鄉慶豐村43鄰中山路三段662號,2026-09-13
員山鄉永同路2段186號,24.760807,121.720366,宜蘭縣員山鄉頭分村9鄰永同路二段186號,2026-09-13
員林市三橋里三橋街403號,23.975051,120.578215,彰化縣員林市三橋里16鄰三橋街403號,2026-09-13
員林市中山路2段107號,23.962928,120.570966,彰化縣員林市和平里13鄰中山路二段107號,2026-09-13
員林市中正路473巷10號,23.958818,120.571772,彰化縣員林市光明里6鄰中正路473巷10號,2026-09-13
員林市光明街141巷20號,23.954021,120.571741,彰化縣員林市惠來里3鄰光明街141巷20之1號,2026-09-13
員林市出水里出水巷13之1號,23.948910,120.608016,彰化縣員林市出水里5鄰出水巷13之1號,2026-09-13
員林市南昌路128號,23.954577,120.570786,彰化縣員林市惠來里6鄰南昌路128號,2026-09-13
員林市員東路1段402號,23.961888,120.591127,彰化縣員林市浮圳里15鄰員東路一段402號,2026-09-13
員林市員東路2段347號,23.958525,120.580387,彰化縣員林市忠孝里2鄰員東路二段347號,2026-09-13
員林市員水路2段421巷46弄7號,23.954531,120.578864,彰化縣員林市萬年里18鄰員水路二段421巷46弄7號,2026-09-13
員林市員水路2段421巷85號,23.953503,120.579377,彰化縣員林市萬年里17鄰員水路二段421巷85號,2026-09-13
員林市員水路2段465巷15弄19號,23.955156,120.578691,彰化縣員林市萬年里19鄰員水路二段465巷15弄19號,2026-09-13
員林市員鹿路140號,23.956962,120.565518,彰化縣員林市新生里27鄰員鹿路140號,2026-09-13
員林市大同路1段285巷71號,23.961343,120.577859,彰化縣員林市三和里11鄰大同路一段285巷71號,2026-09-13
員林市大同路1段295號,23.962088,120.579800,彰化縣員林市三和里11鄰大同路一段295號,2026-09-13
員林市大同路1段376號,23.964004,120.579643,彰化縣員林市三和里18鄰大同路一段376號,2026-09-13
員林市大同路2段5巷2號,23.966761,120.578517,彰化縣員林市三愛里3鄰大同路二段5巷2號,2026-09-13
員林市大同路2段72之1號,23.968445,120.578103,彰化縣員林市三愛里5鄰大同路二段72號之1,2026-09-13
員林市建國路185號,23.968212,120.578791,彰化縣員林市三愛里2鄰建國路185號,2026-09-13
員林市建國路289號,23.967395,120.576216,彰化縣員林市三信里6鄰建國路289號,2026-09-13
員林市新生路354號,23.963928,120.568844,彰化縣員林市南平里28鄰新生路354號,2026-09-13
員林市林森路127號,23.956326,120.577827,彰化縣員林市東和里3鄰林森路127號,2026-09-13
員林市永和街22號,23.950707,120.575025,彰化縣員林市黎明里23鄰永和街22號,2026-09-13
員林市永安街9號,23.969459,120.579425,彰化縣員林市三橋里4鄰永安街9號,2026-09-13
員林市永興街184號,23.970176,120.574702,彰化縣員林市三多里8鄰永興街184號,2026-09-13
員林市浮圳路1段200號,23.969678,120.594930,彰化縣員林市南東里18鄰浮圳路一段200號,2026-09-13
員林市育英路30號,23.958284,120.575490,彰化縣員林市中正里38鄰育英路30號,2026-09-13
員林市雙平路28號,23.964577,120.569964,彰化縣員林市和平里17鄰雙平路28號,2026-09-13
員林市龍富街61號,23.972723,120.568282,彰化縣員林市南平里17鄰龍富街61號,2026-09-13
善化區昌隆里148之3號,23.157414,120.317289,臺南市善化區昌隆里9鄰東勢寮148號之3,2026-09-13
善化區民權路214號,23.131407,120.298466,臺南市善化區光文里21鄰民權路214號,2026-09-13
嘉義市上海路27號,23.463830,120.430240,嘉義市西區車店里16鄰上海路27號,2026-09-13
嘉義市世賢路4段120號,23.461749,120.443772,嘉義市西區光路里1鄰世賢路四段120號,2026-09-13
嘉義市世賢路4段210號,23.461920,120.445950,嘉義市西區光路里17鄰世賢路四段210號,2026-09-13
嘉義市中山路616號,23.477293,120.440017,嘉義市西區書院里19鄰中山路616號,2026-09-13
嘉義市博愛路2段241號,23.479740,120.438300,嘉義市西區後驛里9鄰博愛路二段241號,2026-09-13
嘉義市友忠路555號,23.479800,120.435840,嘉義市西區福全里14鄰友忠路555號,2026-09-13
嘉義市國華街245號,23.479230,120.448340,嘉義市西區文化里14鄰國華街245號,2026-09-13
嘉義市圓福街37號,23.486420,120.464460,嘉義市東區王田里13鄰圓福街37號,2026-09-13
嘉義市垂楊路400號,23.474060,120.449880,嘉義市西區文化里1鄰垂楊路400號,2026-09-13
嘉義市垂楊路508號,23.473830,120.447150,嘉義市西區新富里1鄰垂楊路508號,2026-09-13
嘉義市埤竹路50號,23.490422,120.396703,嘉義市西區竹村里7鄰埤竹路50號,2026-09-13
