address,reason,affected_records
彰化縣埤頭鄉安康街78號,無座標,1
彰化縣田中鎮新民里五福街92之1號,無座標,1
彰化縣田中鎮東發路100巷36之1號,無座標,1
彰化縣田中鎮田中鎮西路街24號,無座標,1
彰化縣線西鄉頂犁村頂犁?48之1號,無座標,1
彰化縣鹿港鎮頂厝里舊港巷26之12號,無座標,1
新北市三峽區介壽路2段138巷98號,無座標,1
新北市三峽區學成路389號,無座標,1
新北市三重區仁義街228巷12號,無座標,1
新北市中正路18號,無座標,1
新北市五股區新北市五股區五權路17號,無座標,1
新北市五股成泰路2段49弄15號,無座標,1
新北市土城區學府路1段129之125號,無座標,1
新北市樹林區保安街1段289巷3號,無座標,1
新北市汐止區褔德一路232號,無座標,1
新北市淡水新民街1段138巷7號,無座標,1
新北市雙溪區梅竹蹊路3號,無座標,1
新竹市中正路521號,無座標,1
新竹市東區新莊里關新北路149號,無座標,1
新竹市東區東園里八德路155號,無座標,1
新竹市東區科學園路95號,無座標,1
新竹市湳雅街89號,無座標,1
新竹縣湖口鄉吉祥街43號,無座標,1
新竹縣竹北市博愛街771號,無座標,1
新竹縣竹東鎮自強路3段272巷54號,無座標,1
桃園市大溪區仁愛里廟前6之1號,無座標,1
桃園市富岡中華街45號,無座標,1
桃園市忠勇街12號,無座標,1
桃園市桃園區民權路32號,無座標,1
桃園市龍潭區成功路190巷227號,無座標,1
臺中市南屯區大墩11街518號,無座標,1
臺中市南屯區文山南路301號,無座標,1
臺中市南屯區東興路3段260號,無座標,1
臺中市南屯區溫泉路228號,無座標,1
臺中市和平區東關路1段松鶴3巷10號,無座標,1
臺中市大甲區德化里和平路290號,無座標,1
臺中市大里區新仁路2段42號,無座標,1
臺中市東勢區中寧里匠寮巷52號,無座標,1
臺中市東勢區中正路206號,無座標,1
臺中市東勢區南平里南片巷100之1號,無座標,1
臺中市東勢區第五橫街1號,無座標,1
臺中市沙鹿區中清路7段168號,無座標,1
臺中市霧峰區六股路51號,無座標,1
臺北市內湖區北投區長安里光明路251號,無座標,1
臺北市北投區淳覺植饌咖啡坊教學點-北投區育仁路16號,無座標,1
臺北市士林區平菁街102號,無座標,1
臺北市大同區延平北路2段247號,無座標,1
臺北市大安區吉利分館--臺北市北投區立農街1段366號,無座標,1
臺北市大安區大直分館--臺北市中山區大直街25號,無座標,1
臺南市仁德區文化路2段358巷201弄9之2號,無座標,1
臺南市佳里區番仔寮66之1號,無座標,1
臺南市南市安南區海環街84號,無座標,1
臺南市大內區環湖里56號,無座標,1
臺南市官田區官田里11號,無座標,1
臺南市後壁區195號,無座標,1
臺南市新化區山?里78號,無座標,1
臺南市永康區永大路1段287巷16號,無座標,1
臺南市麻豆區北勢里尪祖廟41號,無座標,1
臺南市麻豆區南勢里36?204號,無座標,1
臺南市麻豆區新生北路676號,無座標,1
臺南市麻豆區關帝廟23號,無座標,1
臺南市龍崎區21號,無座標,1
臺東縣達仁鄉臺?村1鄰5之1號,無座標,1
臺東縣關山鎮忠孝路18號,無座標,1
花蓮縣化仁國小--花蓮縣吉安鄉村東里11街83號,無座標,1
花蓮縣吉安鄉仁里村仁里5街1號,無座標,1
花蓮縣嘉里國小--花蓮縣新城鄉嘉里三街28號,無座標,1
花蓮縣新城鄉新城村新興1街62號,無座標,1
花蓮縣明恥國小--花蓮市中興路41號,無座標,1
花蓮縣花蓮鳳林鎮中華路2號,無座標,1
花蓮縣黑以妮手作幸福工坊--花蓮市中美11街15號,無座標,1
苗栗縣三義鄉雙湖村106號,無座標,1
苗栗縣三義鄉雙湖村17鄰106號,無座標,1
苗栗縣獅潭鄉46號,無座標,1
苗栗縣竹南鎮育才路6號,無座標,1
苗栗縣苑裡鎮舊社里10鄰47號,無座標,1
苗栗縣苗栗?通霄?中正路2巷9號,無座標,1
苗栗縣苗栗县通霄镇中正路2巷9號,無座標,1
苗栗縣苗栗市僑育北街62號,無座標,1
苗栗縣苗栗市啟賢街126號,無座標,1
苗栗縣苗栗市國華路1279號,無座標,1
苗栗縣苗栗市維新里僑育北街62號,無座標,1
苗栗縣通霄鎮烏眉里3鄰39號,無座標,1
苗栗縣造橋鄉鄉造橋村14鄰1號,無座標,1
苗栗縣頭份市東庄里八德一路66號,無座標,1
苗栗縣頭份市流東里老崎一之1號,無座標,1
金門縣烈嶼鄉西方村69號,無座標,1
金門縣金城鎮民權路90之6號,無座標,1
金門縣金城鎮金城鎮西海路3段86號,無座標,1
金門縣金寧鄉仁愛新?1號,無座標,1
金門縣金寧鄉仁愛新村1號,無座標,1
金門縣金寧鄉盤山村伯玉路2段460號,無座標,1
雲林縣元長鄉元西路5號,無座標,1
雲林縣元長鄉元西路74巷1號,無座標,1
雲林縣元長鄉子茂村14號,無座標,1
雲林縣元長鄉頂山路17之25號,無座標,1
雲林縣元長鄉龍岩村龍岩路29號,無座標,1
雲林縣北港鎮北辰路一1號,無座標,1
雲林縣古坑鄉西平村中山路135號,無座標,1
雲林縣大埤鄉嘉興村30號,無座標,1
雲林縣崙背鄉東興路1號,無座標,1
雲林縣斗南鎮林子路121號,無座標,1
雲林縣林內鄉三星路9之2號,無座標,1
雲林縣臺西鄉五港路100之2號,無座標,1
雲林縣臺西鄉民權路24號,無座標,1
雲林縣虎尾鎮北溪里北溪路10之2號,無座標,1
雲林縣虎尾鎮堀頭里87之2號,無座標,1
雲林縣虎尾鎮西屯里228之5號,無座標,1
雲林縣西螺鎮永安里大同路120號,無座標,1
雲林縣西螺鎮河南里河南58之2號,無座標,1
雲林縣西螺鎮社口88號,無座標,1
雲林縣麥寮鄉7鄰69之1號,無座標,1
雲林縣麥寮鄉橋頭路247號,無座標,1
高雄市三民區鼎山區611號,無座標,1
高雄市三民區龍?路15之1號,無座標,1
高雄市三民裕誠路1號,無座標,1
高雄市仁武區澄新四街28號,無座標,1
高雄市內門區內豐村140之1號,無座標,1
高雄市六龜區光明巷44號,無座標,1
高雄市前鎮區新生路1號,無座標,1
高雄市前鎮區高雄市前鎮區凱旋四路105號,無座標,1
高雄市左營區南大路4號,無座標,1
高雄市左營區崇信路215號,無座標,1
高雄市左營區建業新村緯十一路17號,無座標,1
高雄市左營區新莊仔路30號,無座標,1
高雄市左營區果峰街8號,無座標,1
高雄市杉?區大愛?和氣街150巷12號,無座標,1
高雄市楠梓區土庫八街277號,無座標,1
高雄市楠梓區宏毅二路南12巷2號,無座標,1
高雄市楠梓區後勁東路22號,無座標,1
高雄市橋頭區橋頭火車站1號,無座標,1
高雄市橋頭區興堂路2巷14號,無座標,1
高雄市永安區光明九巷34號,無座標,1
高雄市澄新四街28號,無座標,1
高雄市美濃區民族路79號,無座標,1
高雄市美濃區雙峰街18號,無座標,1
高雄市臺塑六巷21號,無座標,1
高雄市興糖區3巷3號,無座標,1
高雄市雄市旗津區中洲三路623號,無座標,1
高雄市高坪27街328號,無座標,1
高雄市高屏27街328號,無座標,1
高雄市鳥松區仁美里學堂路2號,無座標,1
高雄市鳳山區凱旋路275號,無座標,1
高雄市鳳山區東三巷101號,無座標,1
高雄市鳳山區東五巷117號,無座標,1
