tgos_id,key,address,raw,county,source,method,count,courses
1544,嘉義縣太保市太保里2鄰58號,嘉義縣太保市太保里2鄰58號,嘉義縣太保市太保里2鄰58號,嘉義縣,moe-cc-sites,門牌,1,0
1545,嘉義縣太保市太保里66號,嘉義縣太保市太保里66號,嘉義縣太保市太保里66號,嘉義縣,moe-senior-centers,門牌,1,0
1546,嘉義縣太保市祥和三路東段105號,嘉義縣太保市祥和三路東段105號,嘉義縣太保市祥和三路東段105號,嘉義縣,moe-cc-sites,門牌,1,0
1547,嘉義縣太保鄉崙子頂21號,嘉義縣太保鄉崙子頂21號,嘉義縣太保鄉崙子頂21號,嘉義縣,moe-cc-sites,門牌,1,0
1548,嘉義縣新港鄉18鄰71之3號,嘉義縣新港鄉18鄰71之3號,嘉義縣新港鄉18鄰71-3號,嘉義縣,moe-cc-sites,門牌,1,0
1549,嘉義縣新港鄉公園路28之1號,嘉義縣新港鄉公園路28之1號,嘉義縣新港鄉公園路28-1 號,嘉義縣,moe-cc-sites,門牌,1,0
1550,嘉義縣新港鄉月眉村121之9號,嘉義縣新港鄉月眉村121之9號,嘉義縣新港鄉月眉村121之9號,嘉義縣,moe-cc-sites,門牌,1,0
1551,嘉義縣新港鄉登雲路105號,嘉義縣新港鄉登雲路105號,嘉義縣新港鄉登雲路105號,嘉義縣,moe-cc-sites,門牌,1,0
1552,嘉義縣新港鄉福德村21鄰福德路106號,嘉義縣新港鄉福德村21鄰福德路106號,嘉義縣新港鄉福德村21鄰福德路106號,嘉義縣,moe-cc-sites,門牌,1,0
1553,嘉義縣新港鄉福德路106號,嘉義縣新港鄉福德路106號,嘉義縣新港鄉福德路106號,嘉義縣,moe-cc-sites,門牌,1,0
1554,嘉義縣朴子市四維路1段551號,嘉義縣朴子市四維路1段551號,嘉義縣朴子市四維路一段551號,嘉義縣,moe-senior-centers,門牌,1,0
1555,嘉義縣朴子市大葛里152之300號,嘉義縣朴子市大葛里152之300號,嘉義縣朴子市大葛里152之300號,嘉義縣,moe-cc-sites,門牌,1,0
1556,嘉義縣朴子市大鄉里大?榔956號,嘉義縣朴子市大鄉里大?榔956號,嘉義縣朴子市大鄉里大?榔956號,嘉義縣,moe-cc-sites,門牌,1,0
1557,嘉義縣朴子市學府路2段92號,嘉義縣朴子市學府路2段92號,嘉義縣朴子市學府路2段92號,嘉義縣,moe-cc-sites,門牌,1,0
